game_id,title,region,system,language,updated_from_redump
SLUS-00975,007 - Tomorrow Never Dies (USA),NTSC-U,PSX,E,1
SLUS-01300,007 Racing (USA),NTSC-U,PSX,E,1
SCUS-94508,1Xtreme (USA),NTSC-U,PSX,E,1
SLUS-00066,3D BASEBALL - THE MAJORS,NTSC-U,PSX,E,0
SCUS-94231,3Xtreme (USA),NTSC-U,PSX,E,1
SLUS-00874,40 Winks (USA),NTSC-U,PSX,E,1
SLUS-01449,"2002 FIFA World Cup (USA) (En,Es)",NTSC-U,PSX,"E, S",1
SLUS-00404,Ace Combat 2 (USA),NTSC-U,PSX,E,1
SLUS-00972,Ace Combat 3 - Electrosphere (USA),NTSC-U,PSX,E,1
SLUS-01470,Aces of the Air (USA),NTSC-U,PSX,E,1
SLUS-01248,Action Bass (USA),NTSC-U,PSX,E,1
SLUS-00887,Action Man - Operation Extreme (USA),NTSC-U,PSX,E,1
SLUS-00777,Activision Classics (USA),NTSC-U,PSX,E,1
SCUS-94502,Adidas Power Soccer (USA),NTSC-U,PSX,E,1
SLUS-00547,Adidas Power Soccer 98 (USA),NTSC-U,PSX,E,1
SLUS-00023,Agile Warrior - F-111X (USA),NTSC-U,PSX,E,1
SLUS-00001,Air Combat (USA),NTSC-U,PSX,E,1
SLUS-01467,Air Hockey (USA),NTSC-U,PSX,E,1
SLUS-00715,Akuji the Heartless (USA),NTSC-U,PSX,E,1
SLUS-00872,"Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)",NTSC-U,PSX,"E, F, G, I, S",1
SLUS-00633,Alien Resurrection (USA),NTSC-U,PSX,E,1
SLUS-00007,Alien Trilogy (USA),NTSC-U,PSX,E,1
SLUS-00392,All-Star Baseball 97 featuring Frank Thomas (USA),NTSC-U,PSX,E,1
SLUS-01460,All Star Racing (USA),NTSC-U,PSX,E,1
SLUS-01510,All Star Racing 2 (USA),NTSC-U,PSX,E,1
SLUS-01431,All-Star Slammin' D-Ball (USA),NTSC-U,PSX,E,1
SLUS-00303,Allied General (USA),NTSC-U,PSX,E,1
SLUS-00239,Alone in the Dark - One-Eyed Jack's Revenge (USA),NTSC-U,PSX,E,1
SLUS-01201,Alone in the Dark - The New Nightmare (USA) (Disc 1),NTSC-U,PSX,E,1
SLUS-01377,Alone in the Dark - The New Nightmare (USA) (Disc 2),NTSC-U,PSX,E,1
SLUS-00553,Alundra (USA),NTSC-U,PSX,E,1
SLUS-01017,ALUNDRA 2,NTSC-U,PSX,E,0
SLUS-01488,American Pool (USA),NTSC-U,PSX,E,1
SLUS-00264,Andretti Racing (USA),NTSC-U,PSX,E,1
SLUS-00784,Animaniacs - Ten Pin Alley (USA),NTSC-U,PSX,E,1
SLUS-01010,Animorphs - Shattered Reality (USA),NTSC-U,PSX,E,1
SCUS-94423,Ape Escape (USA) (Demo 1),NTSC-U,PSX,E,1
SLUS-00373,APOCALYPSE - STARRING BRUCE WILLIS,NTSC-U,PSX,E,0
SCUS-94603,Aquanaut's Holiday (USA),NTSC-U,PSX,E,1
SLUS-01224,ARC THE LAD COLLECTION  - (Disc 1),NTSC-U,PSX,E,0
SLUS-01252,ARC THE LAD COLLECTION  - (Disc 2),NTSC-U,PSX,E,0
SLUS-01253,ARC THE LAD COLLECTION  - (Disc 3),NTSC-U,PSX,E,0
SLUS-01254,ARC THE LAD COLLECTION  - (Disc 4),NTSC-U,PSX,E,0
SLUS-01255,ARC THE LAD COLLECTION  - (Disc 5),NTSC-U,PSX,E,0
SLUS-01256,ARC THE LAD COLLECTION  - (Disc 6),NTSC-U,PSX,E,0
SLUS-00952,Arcade Party Pak (USA),NTSC-U,PSX,E,1
SLUS-00399,Arcade's Greatest Hits - The Atari Collection 1 (USA),NTSC-U,PSX,E,1
SLUS-00449,Arcade's Greatest Hits - The Atari Collection 2 (USA),NTSC-U,PSX,E,1
SLUS-00450,Arcade's Greatest Hits - The Midway Collection 2 (USA),NTSC-U,PSX,E,1
SLUS-00164,Area 51 (USA) (Rev 1),NTSC-U,PSX,E,1
SCUS-94182,Armored Core (USA) (Reprint),NTSC-U,PSX,E,1
SLUS-01323,ARMORED CORE,NTSC-U,PSX,E,0
SLUS-01030,Armored Core - Master of Arena (USA) (Disc 1),NTSC-U,PSX,E,1
SLUS-01081,Armored Core - Master of Arena (USA) (Disc 2),NTSC-U,PSX,E,1
SLUS-00670,Armored Core - Project Phantasma (USA),NTSC-U,PSX,E,1
SLUS-01022,ARMORINES - PROJECT SWARM,NTSC-U,PSX,E,0
SLUS-00491,Army Men 3D (USA),NTSC-U,PSX,E,1
SLUS-00913,Army Men - Air Attack (USA),NTSC-U,PSX,E,1
SLUS-01132,Army Men - Air Attack 2 (USA),NTSC-U,PSX,E,1
SLUS-01330,Army Men - Green Rogue (USA),NTSC-U,PSX,E,1
SLUS-00914,Army Men - Sarge's Heroes (USA),NTSC-U,PSX,E,1
SLUS-01202,Army Men - Sarge's Heroes 2 (USA),NTSC-U,PSX,E,1
SLUS-01435,ARMY MEN - TEAM ASSAULT,NTSC-U,PSX,E,0
SLUS-01079,Army Men - World War (USA),NTSC-U,PSX,E,1
SLUS-01327,Army Men - World War - Final Front (USA),NTSC-U,PSX,E,1
SLUS-01203,"Army Men - World War - Land, Sea, Air (USA)",NTSC-U,PSX,E,1
SLUS-01090,Arthur! Ready to Race (USA),NTSC-U,PSX,E,1
SLUS-00713,Assault - Retribution (USA),NTSC-U,PSX,E,1
SCUS-94405,Assault Rigs (USA),NTSC-U,PSX,E,1
SLUS-00773,Asteroids (USA),NTSC-U,PSX,E,1
SLUS-01427,Atari Anniversary Edition Redux (USA),NTSC-U,PSX,E,1
SLUS-01137,ATV - Quad Power Racing (USA),NTSC-U,PSX,E,1
SLUS-01545,ATV Mania (USA),NTSC-U,PSX,E,1
SLUS-01572,ATV Racers (USA),NTSC-U,PSX,E,1
SLUS-01456,Austin Powers Pinball (USA),NTSC-U,PSX,E,1
SLUS-00522,Auto Destruct (USA),NTSC-U,PSX,E,1
SLUS-00614,Azure Dreams (USA),NTSC-U,PSX,E,1
SLUS-01094,Backyard Soccer (USA),NTSC-U,PSX,E,1
SLUS-01567,Baldies (USA),NTSC-U,PSX,E,1
SLUS-01037,BALDUR'S GATE (Disc 1),NTSC-U,PSX,E,0
SLUS-01249,Ball Breakers (USA),NTSC-U,PSX,E,1
SLUS-00068,Ballblazer Champions (USA),NTSC-U,PSX,E,1
SLUS-01568,Ballerburg - Castle Chaos (USA),NTSC-U,PSX,E,1
SLUS-00966,Ballistic (USA),NTSC-U,PSX,E,1
SLUS-01361,Barbie - Explorer (USA),NTSC-U,PSX,E,1
SLUS-01569,Barbie - Gotta Have Games (USA),NTSC-U,PSX,E,1
SLUS-00981,Barbie - Race & Ride (USA),NTSC-U,PSX,E,1
SLUS-00946,Barbie - Super Sports (USA),NTSC-U,PSX,E,1
SLUS-00086,Bases Loaded '96 - Double Header (USA),NTSC-U,PSX,E,1
SLUS-00873,Bass Landing (USA),NTSC-U,PSX,E,1
SLUS-00905,Bass Rise (USA),NTSC-U,PSX,E,1
SLUS-01141,Batman - Gotham City Racer (USA),NTSC-U,PSX,E,1
SLUS-00393,Batman & Robin (USA),NTSC-U,PSX,E,1
SLUS-01207,Batman Beyond - Return of the Joker (USA),NTSC-U,PSX,E,1
SLUS-00387,Batman Forever - The Arcade Game (USA),NTSC-U,PSX,E,1
SCUS-94003,Battle Arena Toshinden (USA),NTSC-U,PSX,E,1
SCUS-94200,BATTLE ARENA TOSHINDEN,NTSC-U,PSX,E,0
SLUS-00220,Battle Arena Toshinden 2 (USA),NTSC-U,PSX,E,1
SLUS-00483,"Battle Arena Toshinden 3 (USA) (En,Ja)",NTSC-U,PSX,"E, J",1
SLUS-01335,Battle Hunter (USA),NTSC-U,PSX,E,1
SLUS-00389,BattleSport (USA),NTSC-U,PSX,E,1
SLUS-00456,Battle Stations (USA),NTSC-U,PSX,"E, F, G",1
SLUS-01044,BattleTanx - Global Assault (USA),NTSC-U,PSX,E,1
SLUS-01524,BEAR IN THE BIG BLUE HOUSE,NTSC-U,PSX,E,0
SLUS-00508,Beast Wars - Transformers (USA),NTSC-U,PSX,E,1
SLUS-01160,Transformers - Beast Wars Transmetals (USA),NTSC-U,PSX,E,1
SLUS-01489,BEYBLADE - LET IT RIP!,NTSC-U,PSX,E,0
SCUS-94702,Beyond the Beyond (USA),NTSC-U,PSX,E,1
SLUS-00645,Big Air (USA),NTSC-U,PSX,E,1
SLUS-01442,Big Bass Fishing (USA),NTSC-U,PSX,E,1
SLUS-00228,Big Bass World Championship (USA) (Rev 1),NTSC-U,PSX,E,1
SLUS-01527,Big League Slugger Baseball (USA),NTSC-U,PSX,E,1
SLUS-01259,Big Ol' Bass 2 (USA),NTSC-U,PSX,E,1
SLUS-01478,Big Strike Bowling (USA),NTSC-U,PSX,E,1
SLUS-01289,Billiards (USA),NTSC-U,PSX,E,1
SLUS-00502,Bio F.R.E.A.K.S. (USA),NTSC-U,PSX,E,1
SLUS-00648,Black Bass with Blue Marlin (USA),NTSC-U,PSX,E,1
SLUS-00321,Black Dawn (USA),NTSC-U,PSX,E,1
SLUS-01215,Blade (USA),NTSC-U,PSX,E,1
SLUS-00219,Blast Chamber (USA),NTSC-U,PSX,E,1
SLUS-01380,Blast Lacrosse (USA) (Alt),NTSC-U,PSX,E,1
SLUS-00642,Blast Radius (USA),NTSC-U,PSX,E,1
SLUS-01031,Blaster Master - Blasting Again (USA),NTSC-U,PSX,E,1
SCUS-94412,Blasto (USA),NTSC-U,PSX,E,1
SLUS-00100,Blazing Dragons (USA),NTSC-U,PSX,E,1
SLUS-01496,Blockids (USA),NTSC-U,PSX,E,1
SLUS-00027,Blood Omen - Legacy of Kain (USA) (Beta) (1996-07-12),NTSC-U,PSX,E,1
SCUS-94199,Bloody Roar (USA),NTSC-U,PSX,E,1
SCUS-94424,BLOODY ROAR 2,NTSC-U,PSX,E,0
SLUS-01198,Blue's Clues - Blue's Big Musical (USA),NTSC-U,PSX,E,1
SLUS-01333,BOARD GAME - TOP SHOP,NTSC-U,PSX,E,0
SLUS-01407,Bob the Builder - Can We Fix It (USA),NTSC-U,PSX,E,1
SCUS-94307,Bogey Dead 6 (USA),NTSC-U,PSX,E,1
SLUS-00823,Bomberman Fantasy Race (USA),NTSC-U,PSX,E,1
SLUS-01189,Bomberman - Party Edition (USA),NTSC-U,PSX,E,1
SLUS-00680,Bomberman World (USA),NTSC-U,PSX,E,1
SLUS-00968,BoomBots (USA),NTSC-U,PSX,E,1
SLUS-00049,BOTTOM OF THE NINTH,NTSC-U,PSX,E,0
SLUS-00296,BOTTOM OF THE NINTH '97,NTSC-U,PSX,E,0
